gene	min0	min5	min10	min30	min60	min120	min180	min240	autocor.adj	DESeq.adj
YOR006C	402.0528114	347.0701941	305.5764898	304.0705551	312.8564472	300.2902817	219	268.1915516	NA	NA
YOR007C	2483.267365	2335.529885	2547.667077	3453.242156	3924.35369	3154.549409	3671	3745.127825	NA	NA
YOR008C	850.9329503	1081.731468	1025.424463	1169.361513	950.4676852	848.3200458	578	902.843315	0.180260226	0.147098427
YOR008C-A	20	20	20	20	20	20	20	20	NA	NA
YOR008W-B	20	20	20	20	20	20	20	20	NA	NA
YOR009W	96.01967143	150.3383582	100.4915973	99.32565226	141.3803184	2040.472464	8517	16560.3165	0.018506356	2.69E-28
YOR010C	38.31326791	44.63170009	51.27122313	74.34189924	94.48684647	137.3828039	243	299.5829292	0.00747705	1.47E-24
YOR011W	200.5534024	245.4743505	234.8222019	239.4784131	333.1536216	1147.108876	2176	3297.459485	0.008481415	3.12E-30
YOR011W-A	20	20	20	20	20	20	20	20	NA	NA
YOR012W	53.92237706	51.67881063	47.68223751	54.23302485	32.89542062	40.53918803	89	40.26285381	0.768319714	0.97513291
YOR013W	37.8402646	27.60118295	29.22459718	51.79558554	40.59434885	30.77975387	20	36.1683263	0.410330802	0.780099764
YOR014W	830.593808	771.6586042	1013.119369	1117.565928	827.9847361	880.6012511	916	1068.671679	NA	NA
YOR015W	96.01967143	145.0530253	145.0975615	227.2912165	170.7762262	195.9394088	386	195.854899	0.161978934	0.073048432
YOR016C	466.8542645	527.3587721	569.6232889	564.2672024	563.421566	620.8501574	508	452.4452894	NA	NA
YOR017W	237.4476604	231.3801294	238.4111875	229.7286558	211.3705751	227.4698884	154	184.936159	NA	NA
YOR018W	100.7497045	254.8704979	159.9662162	216.3227396	159.5777852	143.3886095	124	188.3482653	0.851916862	0.769962493
YOR019W	118.7238302	130.371545	101.0043096	212.6665806	179.8749596	210.9539229	149	212.9154303	0.324107329	0.379407527
YOR020C	2027.765179	1715.971417	2030.340436	3474.56975	2627.434234	2242.417679	2927	2872.311045	0.201064339	0.651452768
YOR020W-A	52.50336714	83.39080807	120.4873743	168.183313	188.2737904	119.365387	133	135.1194077	0.042316785	0.495768626
YOR021C	1708.96095	1576.790984	1313.056024	798.8707369	1330.514779	1469.170203	1171	984.7338651	0.275177548	0.692860063
YOR022C	80.41056228	97.48502915	122.025511	158.4335558	134.3812928	111.1074042	84	163.098679	0.352609204	0.862643902
YOR023C	481.5173671	478.6162576	368.1273821	430.2080399	499.0305299	406.8933317	426	511.8159382	NA	NA
YOR024W	20	20	20	20	20	20	20	20	NA	NA
YOR025W	435.6360462	445.7297417	419.3986052	419.8489228	317.7557652	358.0961609	277	371.9195818	NA	NA
YOR026W	433.2710297	482.7270721	405.5553749	375.975015	594.9171815	465.4499366	333	365.0953693	NA	NA
