Gene.name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
DDN	4151.13973102867	-1.11446362841992	0.284079382350543	-3.92307114722151	8.74273193940627e-05	0.000553739978821524
DDR1	2638.22047646202	1.03828126773766	0.1475309704767	7.03771733069187	1.95414601850856e-12	1.1886729202335e-10
DGKB	3403.73399949899	-1.15237353810988	0.178454301788801	-6.45752737008104	1.06427508569753e-10	4.28029608183737e-09
DKK2	72.9036665534754	-1.60275438978384	0.243738244930112	-6.57571974493951	4.84183775351276e-11	2.11375576996793e-09
DLGAP2	4327.67208104683	-1.05802406372927	0.229659015985491	-4.60693458599559	4.08648484855197e-06	4.18735981284893e-05
DLGAP3	2291.03688557945	-1.12438112575695	0.270941638830761	-4.14990154562132	3.32618310628934e-05	0.000247743377491267
DLX1	128.333494091215	-1.31773142808742	0.272815236140758	-4.83012403093037	1.36448028043314e-06	1.62751356077204e-05
DLX6-AS1	187.569697460276	-1.1287557222744	0.263356841525646	-4.28603151425811	1.81893195856984e-05	0.000149651280922574
DMRT2	59.9805369124853	1.16054270421444	0.305528821161733	3.79847210420813	0.000145590811332021	0.000846895000275456
DMTN	1347.26572031708	-1.081812493149	0.220634590708195	-4.90318625776941	9.42944963423384e-07	1.18388384515804e-05
DNAH12	73.7101419031317	1.08224645997842	0.210762185011692	5.13491763201438	2.82267619698427e-07	4.245421000656e-06
DNAH17	242.684492797452	1.31779937716044	0.319155619606279	4.12901824754369	3.64315492570222e-05	0.00026578086050995
DNM1	3614.1801673298	-1.00336501591094	0.241865982979909	-4.14843378779019	3.34757635424363e-05	0.000248762873647499
DOC2A	317.458647221683	-1.37516084220255	0.215923864573846	-6.36873022311178	1.90599514544693e-10	7.08680717379592e-09
DOCK10	4199.32102806356	1.01706026908287	0.294215584821961	3.45685382267674	0.00054652122021032	0.0025842781775165
DOCK5	2755.43822532062	1.44671469398582	0.349311000078739	4.14162363526976	3.4485589707129e-05	0.000254972748949107
DRD1	169.851985105629	-1.90550934117777	0.1888007939657	-10.0926977114511	5.95111169760546e-24	5.44501924032159e-21
DSP	362.846572147034	-1.82833303828051	0.411793083071508	-4.43993139623237	8.99875591698847e-06	8.2129543300561e-05
DUSP1	1017.60739020926	1.33270672824758	0.235193370061736	5.66642983132458	1.45803499193507e-08	3.23403943312143e-07
DUXAP9	52.8307993586998	-1.09212955639577	0.272364400919321	-4.00981021274977	6.07675706903516e-05	0.000410330591878669
EFHD1	1770.5761841455	1.25883057381149	0.243003363995755	5.18030101769902	2.21528123670522e-07	3.4209114400007e-06
EFNA5	1211.68684739342	-1.14559173374444	0.142076547774453	-8.06320080048025	7.43222922293758e-16	1.05293110649346e-13
EFS	612.905709760236	1.21483198124036	0.261964607255697	4.63738973736475	3.52836725208259e-06	3.67723856138973e-05
EGR1	785.502727322474	1.15035166041885	0.265368976554124	4.33491388238529	1.45817195723435e-05	0.000123820564612951
EGR2	221.303210179537	1.9077575348331	0.326437348123579	5.844176672183	5.09079773691933e-09	1.30138332369047e-07
ELAVL2	1120.32537218682	-1.32882331947514	0.2160285654713	-6.15114633833772	7.69248992904711e-10	2.4529466163709e-08
ELN	335.186356427384	1.25854693267749	0.272847865066511	4.61263250995459	3.97600906871651e-06	4.08559584183181e-05
ELOVL1	598.067092566248	1.36116583636831	0.268778972110749	5.06425716892557	4.09995874105645e-07	5.8499671211734e-06
EMX1	232.18968963295	-1.3456341202297	0.229925640779934	-5.85247524227901	4.84310358495093e-09	1.24531278245828e-07
ENC1	13152.7058544084	-1.32429328957152	0.310090460399599	-4.27066762345723	1.94888676990603e-05	0.000158619735286755
ENPP2	2960.65009743269	1.36532450278034	0.332500556032925	4.10623223933841	4.02165152444647e-05	0.000288316832599804
EPB41L4B	802.227821317159	-1.61886916015173	0.197959222252081	-8.17779107098262	2.89094461731858e-16	4.40848978136796e-14
EPCAM-DT	207.922429188935	1.42948530754903	0.351583471065365	4.06584900939005	4.78579145680059e-05	0.000333622839999632
EPHA3	624.390620480263	-1.52955794919243	0.205913668978331	-7.42815159761635	1.1012570356616e-13	8.92343293213765e-12
EPHB6	914.398435588884	-1.64498978191709	0.258380593909914	-6.36653766068295	1.93342844008181e-10	7.159553982421e-09
EPHX4	123.514266762242	-1.88840894959169	0.240676260904473	-7.84626178957142	4.28621733467067e-15	4.80209420673639e-13
EPOP	276.896979801635	-2.02169027933424	0.23739389573554	-8.51618476991685	1.64895671198648e-17	3.20437526004523e-15
ERBB3	755.648628073598	1.34642106002135	0.288264279950674	4.6707870300536	3.00047898572298e-06	3.19222471160325e-05
ERFE	64.9708839964648	-1.11339742250103	0.279350746590513	-3.98566116643714	6.72924829174749e-05	0.000446292851822661
ERLEC1P1	224.634751646084	-1.15368888531837	0.176523534170281	-6.53560949105788	6.33510155591021e-11	2.67524028973524e-09
ERMN	8529.74143194453	1.49357351764534	0.307464306781963	4.85771351243221	1.18749057179797e-06	1.44546039169133e-05
FA2H	1139.86609483194	1.61265397905181	0.356930056380978	4.51812322952849	6.23901719628652e-06	6.05937985905598e-05
FAM107B	3064.77880995097	1.45389693994591	0.323720714462788	4.49120762123189	7.08204716575097e-06	6.73223695726085e-05
FAM153B	189.133958244106	-1.0451296198422	0.218721747868934	-4.77835254164335	1.76737304672263e-06	2.04047028038813e-05
FAM153C	233.909960059395	-1.08814712140713	0.255744445282647	-4.25482211433571	2.09215275758794e-05	0.000167915140365035
FAM160A1	99.183779684151	-1.30951853827966	0.159728512757551	-8.19840187373025	2.43603795062748e-16	3.76710967308654e-14
FAM162B	51.2348197169046	-1.49927665985017	0.176933311871752	-8.47368222518157	2.37755451415406e-17	4.46228372447085e-15
FAM163B	1059.26970520612	-1.51834239403292	0.279355954806244	-5.43515313674275	5.47493913471748e-08	1.01626532932596e-06
FAM189A2	631.332290242314	1.32644392330728	0.196992230232732	6.73348345637889	1.656485035762e-11	8.32374254011389e-10
FAM222A	233.468047143054	1.08496035164649	0.334248221244879	3.24597195343523	0.00117050370397497	0.0048790984881523
FAM222A-AS1	51.5209522140103	1.0247080351152	0.313143207232631	3.2723303953196	0.00106664847954769	0.00450173629874835
FAM84A	828.060670279898	-1.19887615194033	0.209113680040949	-5.73313114524866	9.85933398598799e-09	2.31551994650599e-07
FAM84B	346.453959709735	1.00164973918691	0.177724490905021	5.63596910074822	1.74076592735855e-08	3.7660570442233e-07
FAM95C	76.2392672166249	1.29385878678373	0.353603402757464	3.6590676919226	0.000253134475834041	0.00135015301307741
FAXC	1071.86767512129	-1.02714219880778	0.20395014479395	-5.03624157681033	4.74761324371764e-07	6.61083317811006e-06
FBLN7	133.895132575433	-1.40577032315851	0.248430277226108	-5.65861109545456	1.52602919177385e-08	3.35772294811243e-07
FBXL16	4835.44449451297	-1.02893750795442	0.232181082555172	-4.43161646345548	9.35292727404347e-06	8.51143514341984e-05
FCGR2A	204.250824691428	1.02520702416986	0.112771604950117	9.09100322393521	9.812936321646e-20	3.36691044823476e-17
FGF1	5028.94668796107	1.16423119888627	0.176983311031971	6.57819763964049	4.76185012737009e-11	2.0913093389384e-09
FGF9	149.47051657202	-1.14831390299322	0.269496578352236	-4.26095911871785	2.03551468159838e-05	0.000164269999607567
FIBCD1	111.451808650156	1.74139637470333	0.343285510180093	5.07273486081531	3.92138698109411e-07	5.63147279230616e-06
FKBP5	593.997312009469	1.33544243310238	0.217790785573672	6.13176737291597	8.69081216944314e-10	2.70313802307085e-08
FLJ33534	116.345175957923	-1.06683598865737	0.214422790821197	-4.97538524040096	6.51180038482166e-07	8.67673693266376e-06
FLNC	316.612202071146	1.31465221080351	0.205210338784811	6.4063644092615	1.49030522977521e-10	5.74133553344455e-09
FMN1	1486.32212145306	-1.09936099063846	0.144739417885313	-7.5954498553363	3.06724993208817e-14	2.82998912851782e-12
FMOD	92.7720266384763	-1.03320041332471	0.330428961804852	-3.12684580577081	0.00176692571769465	0.00687089106337114
FOLH1	1190.77933860804	1.35344832124915	0.352017477654974	3.84483273462835	0.000120634696023786	0.00072156711141858
FOS	1564.19406733846	2.0240359827481	0.318080177934721	6.36328863964445	1.9747907874723e-10	7.28813964741248e-09
FOXJ1	79.3126678039587	1.39396359153674	0.390345627559279	3.57110082224514	0.000355484012688679	0.00179777759408458
FPR1	127.318623382357	1.14422872552288	0.123933991985815	9.23256571654563	2.64225519371429e-20	9.67021363312869e-18
FREM3	243.236963871345	-1.88079580189457	0.202835658065599	-9.27251066124826	1.81814890582783e-20	6.76690369882601e-18
FRMD4B	2605.93690908692	1.26093403836453	0.345534098123048	3.64923185646211	0.000263025629903793	0.00139376925845979
FRMPD2	193.585340608484	1.07106737816268	0.143564788821378	7.46051581976198	8.61844064756512e-14	7.11474955563468e-12
FSTL4	1209.62049430656	-2.03586325914314	0.240476752569866	-8.46594623965434	2.54081351988475e-17	4.7282817019618e-15
FSTL5	1091.34092691894	-1.23027160719634	0.156241163187876	-7.87418361521648	3.42974938778311e-15	3.96388772664892e-13
FUT1	76.2141606690379	-1.59672093352534	0.243833868885129	-6.54839682783181	5.81580136177019e-11	2.47498414928511e-09
GABBR2	2743.76996114828	-1.17724643407968	0.236548860630471	-4.97675799808117	6.46580765180801e-07	8.63641546387178e-06
GABRA1	2349.51239879181	-1.22154604960839	0.256250636749496	-4.76699712868438	1.86991973734454e-06	2.13862330793483e-05
GABRA4	1851.09266539235	-1.47238949770401	0.272557325829642	-5.40212776604765	6.58550147855183e-08	1.19316028851089e-06
GABRB2	4169.18575222066	-1.18467415559131	0.232151100590635	-5.10303053734092	3.34257040184224e-07	4.92283725379301e-06
GABRD	428.369258880516	-1.42742517902962	0.303413369273367	-4.70455597407625	2.54419060053887e-06	2.78088010936949e-05
GABRG2	1723.48393526274	-1.0194992525113	0.254827417843141	-4.00074395895208	6.31436512885473e-05	0.000423768777092057
GAD1	1068.4548275494	-1.07667850058004	0.227417813962666	-4.73436307305634	2.19744060138613e-06	2.45565385067878e-05
GADD45G	102.474483406387	1.19355618214682	0.221596020793395	5.38618057252767	7.19706593265861e-08	1.29753999027299e-06
GAL3ST1	266.782430385998	1.18671871834407	0.28800268847983	4.12051264037828	3.7803032517256e-05	0.000273965937639084
GALNT14	297.722892953712	-1.01508004887435	0.16316000959734	-6.22137772227064	4.92808150409562e-10	1.65214872898375e-08
GALNT15	2087.20938582482	1.42250101324182	0.18768131757148	7.57934264128366	3.4731015880373e-14	3.13851184245725e-12
GALNT6	283.53854672284	1.50644745734207	0.331360202269745	4.54625343364483	5.46092756926456e-06	5.39059009824859e-05
GALNTL6	1941.02926892431	-1.07684973090193	0.251386300853556	-4.28364523940088	1.83855985391415e-05	0.000151039789869438
GAP43	2902.71895550832	-1.1583665028521	0.246274345611629	-4.70356138791179	2.55662177634891e-06	2.78891493228245e-05
GCNT4	213.833554981891	-1.26685474145178	0.183482458801821	-6.90450057037934	5.03803550031401e-12	2.84396456430322e-10
GEM	162.497834257711	1.40560550795319	0.137487924908943	10.2234833268747	1.55645218925465e-24	1.70890668119215e-21
GFAP	124305.443115456	1.56417644314563	0.273248401394415	5.7243754589724	1.03814930541436e-08	2.41670961252371e-07
GJB1	524.546784870385	1.75568774739802	0.310056929798345	5.66246898122833	1.49210354789872e-08	3.28966885625582e-07
GJB2	51.7076569412197	-1.58259567945925	0.362811120840411	-4.36203740335561	1.28856833360564e-05	0.000111312635868003
GJC2	390.240781467744	1.27275738368463	0.283398810844904	4.49104701565304	7.08739025069029e-06	6.73440080116435e-05
GLDN	2389.42709442213	1.36069027048128	0.342715770218495	3.97031706365245	7.17770495537031e-05	0.000470493203328288
GLIPR2	274.365602283748	1.03377324075736	0.215384495538992	4.79966414560332	1.58931928925773e-06	1.85835262368533e-05
GLP2R	139.074866270992	-2.30082503165216	0.32352677149995	-7.11169904420881	1.14622998439579e-12	7.3596679027331e-11
GLRA3	535.156585695331	-1.97811221862435	0.245932375559747	-8.04331765641724	8.74382783044713e-16	1.21522604638474e-13
GLTP	968.934463705689	1.10373834375122	0.227652304277476	4.84835129279395	1.24491801071354e-06	1.50534992275653e-05
GMPR	129.499662181191	1.22658690271632	0.202495063812322	6.05736692847563	1.38367722066438e-09	4.05663125348052e-08
GPD1	331.035601497933	1.64533082518363	0.184558109139899	8.91497443732713	4.87928811821396e-19	1.40979326036658e-16
GPIHBP1	205.844066591541	1.56183640713774	0.276697550695568	5.64456173613234	1.65602550992724e-08	3.60046179925667e-07
GPR141	56.0963112250085	1.22192246682368	0.311611104049906	3.9213059192781	8.80703674484314e-05	0.000556368584234783
GPR149	52.3240426121787	-1.08705695586248	0.322180653117202	-3.37406031474842	0.000740681368398653	0.00333564851695366
GPR153	329.97730639065	-1.45193696935421	0.288195150789036	-5.03803400362228	4.70337898978952e-07	6.56639107616499e-06
GPR37	3219.48275690235	1.52209431896698	0.291350120143147	5.22427901597959	1.7483498377561e-07	2.78001550233789e-06
GPR62	275.472730475059	1.43943663838564	0.284387277723627	5.06153668303161	4.15890698011861e-07	5.9263749757576e-06
GPR63	216.739125445179	-1.01229519995198	0.127804733385381	-7.92063934674087	2.36292397261459e-15	2.85379903971172e-13
GREM1	544.161834432792	1.06155774615309	0.321965983839911	3.29711149448918	0.000976847149866699	0.00420187787736001
GRM1	1533.80584536741	-1.38429331523287	0.202879376298695	-6.8232332950137	8.90139211492689e-12	4.77911172253495e-10
GULP1	535.020203244143	-1.48584292175194	0.219380664769146	-6.77289825571224	1.26227726620692e-11	6.52196387967949e-10
GYG2	236.914654048608	1.29457073622261	0.194589480436878	6.65283001586791	2.87510191188943e-11	1.3490248479312e-09
HAGLR	138.455103629472	2.04328094782293	0.355250330577527	5.75166515538828	8.83686938921489e-09	2.10922624910619e-07
HAPLN2	623.389425111829	1.27353837187475	0.22099019979317	5.76287262089759	8.26942070941037e-09	1.98674189669521e-07
HCN1	2201.95938627839	-1.03510645738279	0.22733893004945	-4.55314211761987	5.28505436710245e-06	5.25371248742429e-05
HECW1	1708.45622067129	-1.39020284968898	0.208852837011424	-6.65637522373202	2.80663188281813e-11	1.32539418311405e-09
HFM1	1103.11683461672	-1.33488467524974	0.268503922814596	-4.97156488909657	6.64146276614946e-07	8.83342706734561e-06
HHIP	2785.44421012371	1.05590335725101	0.274543325840192	3.84603542635613	0.000120044413926373	0.000719251101066635
HIP1	1403.50592901646	1.01884875119108	0.258959101295462	3.93440024349102	8.34046997378905e-05	0.000533338323105515
HIPK4	161.260892718251	-1.05081442284486	0.245965849716207	-4.27219642099614	1.93556963512289e-05	0.000157652721133767
HK2	331.62117696418	1.1514343160605	0.189636008075033	6.07181266758636	1.26474421559604e-09	3.78888379676308e-08
HLA-DOA	147.276170200274	1.29338880639529	0.18198927205816	7.10695082060633	1.18634683158451e-12	7.59504083812368e-11
HLA-DPA1	713.612734975031	1.08685719108657	0.164758341308401	6.59667475683159	4.20481802198698e-11	1.89345438818123e-09
HLA-DRA	1233.4886657039	1.04891800643716	0.182551983172061	5.74585927915407	9.14553438384924e-09	2.17110042740482e-07
HOPX	1328.3716629288	-1.24810375035691	0.265524535235536	-4.70052136330741	2.59498105303288e-06	2.82374573555743e-05
HPN	59.2098422051566	1.45071782069129	0.367069434453991	3.95216186509565	7.74483223878226e-05	0.000500920442671542
HRH2	339.912333472473	-1.03573941853315	0.179573113256781	-5.76778672346174	8.03193606799063e-09	1.93749789886419e-07
HSD17B3	214.582544199421	1.23933825322082	0.378002711408547	3.27864910969207	0.00104305242973886	0.00442419973599521
HSD3BP4	86.9239145825781	-2.12388784780933	0.287861501033368	-7.37815873322753	1.60493556849789e-13	1.24094296298047e-11
